"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20210628.CR6","65065","FCRWaterLevel"
"TIMESTAMP","RECORD","Lvl_psi","wtr_pt_9"
"TS","RN","psi","deg C"
"","","Smp","Smp"
"2021-07-01 14:00:00",432,13.05246,9.833566
"2021-07-01 14:10:00",433,13.04867,9.836912
"2021-07-01 14:20:00",434,13.05103,9.836086
"2021-07-01 14:30:00",435,13.05526,9.83497
"2021-07-01 14:40:00",436,13.05293,9.835402
"2021-07-01 14:50:00",437,13.05452,9.836607
"2021-07-01 15:00:00",438,13.0518,9.838278
"2021-07-01 15:10:00",439,13.05015,9.838117
"2021-07-01 15:20:00",440,13.04865,9.838082
"2021-07-01 15:30:00",441,13.04721,9.835402
"2021-07-01 15:40:00",442,13.04743,9.836822
"2021-07-01 15:50:00",443,13.04566,9.838082
"2021-07-01 16:00:00",444,13.04517,9.814049
"2021-07-01 16:10:00",445,13.0435,9.807099
"2021-07-01 16:20:00",446,13.041,9.796255
"2021-07-01 16:30:00",447,13.04046,9.801604
"2021-07-01 16:40:00",448,13.04072,9.800401
"2021-07-01 16:50:00",449,13.03965,9.803327
"2021-07-01 17:00:00",450,13.04099,9.79175
"2021-07-01 17:10:00",451,13.04065,9.783873
"2021-07-01 17:20:00",452,13.03848,9.788269
"2021-07-01 17:30:00",453,13.03718,9.793975
"2021-07-01 17:40:00",454,13.04081,9.793437
"2021-07-01 17:50:00",455,13.03994,9.790118
"2021-07-01 18:00:00",456,13.04165,9.790188
"2021-07-01 18:10:00",457,13.04297,9.791481
"2021-07-01 18:20:00",458,13.04223,9.795878
"2021-07-01 18:30:00",459,13.04079,9.794478
"2021-07-01 18:40:00",460,13.04143,9.796882
"2021-07-01 18:50:00",461,13.03939,9.793365
"2021-07-01 19:00:00",462,13.03783,9.79577
"2021-07-01 19:10:00",463,13.04134,9.79376
"2021-07-01 19:20:00",464,13.04089,9.792538
"2021-07-01 19:30:00",465,13.03993,9.790565
"2021-07-01 19:40:00",466,13.04201,9.789794
"2021-07-01 19:50:00",467,13.04103,9.791912
